Fish_ID,Beas_population_code,Population_old_code,Harvested,Sex,Weight_g,Length_mm,Weight_finished,Length_finished,Tank,Acclimation,Treatment,Trial,Distance_moved,Speed,Time_moving,TotalTime,Time_stationary,Percentage_moving,MMR_mghg,SMR_mghg,SGR,Weight_resp,MMR_scaled,SMR_scaled,AS,FSR,fastestFSR,Status,FastestStatus
5Mg,6,2,Small,M,0.08,15,0.09,15.5,5,H,Hypoxia,1,0,NA,0,866.4,866.4,13.63216266,0.688,0.068,0.2,0.09,0.172,0.014,0.158,39,39,1,1
5ML,6,2,Small,M,0.1,16.5,0.12,18,5,H,Hypoxia,1,0,NA,0,866.4,866.4,11.46025878,NA,NA,NA,NA,NA,NA,NA,5,5,1,1
5Mp,9,3,Small,M,0.11,17.5,0.12,18,5,H,Hypoxia,1,0,NA,0,866.4,866.4,6.034349969,0.894,0.254,0.15,0.12,0.233,0.058,0.175,NA,NA,NA,NA
6Fb,1,1,Small,F,0.12,16.5,0.34,24,6,N,Hypoxia,1,45.61358395,7.64473474,5.966666667,865.6,859.6333333,4.990757856,0.439,0.014,1.8,0.4,0.135,0.005,0.13,19,19,1,1
6Fg,6,2,Small,F,0.11,17,0.45,25.5,6,N,Hypoxia,1,44.74062546,7.064309283,6.333333333,865.6,859.2666667,1.998613678,0.596,0.216,2.43,0.37,0.182,0.068,0.114,24,24,1,1
6FL,9,3,Small,F,0.13,19.5,0.65,27.5,6,N,Hypoxia,1,259.6666955,7.490385448,34.66666667,865.6,830.9333333,3.550523722,NA,NA,NA,NA,NA,NA,NA,26,26,1,1
6Fp,9,3,Small,F,0.12,17,0.33,23.5,6,N,Hypoxia,1,47.73374132,6.538868674,7.3,865.6,858.3,4.1474122,0.608,0.171,1.74,0.28,0.178,0.05,0.128,5,35,1,1
6Mb,1,1,Small,M,0.07,14.5,0.09,16,6,N,Hypoxia,1,84.47794076,7.118927592,11.86666667,865.6,853.7333333,4.370764017,0.968,0.155,0.43,0.08,0.238,0.031,0.207,NA,NA,NA,NA
6Mg,6,2,Small,M,0.1,16,0.11,17,6,N,Hypoxia,1,635.5300312,7.527003923,84.43333333,865.6,781.1666667,15.30730129,0.832,0.176,0.16,0.06,0.197,0.033,0.164,5,5,1,1
6ML,6,2,Small,M,0.08,15,0.09,16.5,6,N,Hypoxia,1,50.85780733,11.30173496,4.5,865.6,861.1,9.862138016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6Mp,9,3,Small,M,0.09,15.5,0.09,16,6,N,Hypoxia,1,86.85022733,6.856596894,12.66666667,865.6,852.9333333,7.867375231,0.253,0.15,0,0.09,0.063,0.031,0.032,5,32,1,1
7Fb,3,1,Large,F,0.2,20,0.25,21.5,7,N,Hypoxia,1,289.3822748,7.369667438,39.26666667,865.6,826.3333333,0,0.876,0.119,0.38,0.21,0.247,0.032,0.215,NA,6,0,1
7Fg,4,2,Large,F,0.22,22.5,1.11,32,7,N,Hypoxia,1,277.8198537,8.548303192,32.5,865.6,833.1,0,0.272,0.229,2.79,0.81,0.093,0.091,0.002,NA,NA,NA,NA
7FL,7,3,Large,F,0.2,20.5,0.63,27,7,N,Hypoxia,1,107.3092611,7.521677183,14.26666667,865.6,851.3333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
7Fp,7,3,Large,F,0.25,22.5,0.99,31,7,N,Hypoxia,1,100.1817115,6.54782428,15.3,865.6,850.3,0,0.488,0.247,2.37,0.66,0.161,0.092,0.069,27,27,1,1
7Mb,3,1,Large,M,0.13,18,0.15,19,7,N,Hypoxia,1,333.198498,8.997259171,37.03333333,865.6,828.5666667,0,0.613,0.098,0.25,0.14,0.163,0.023,0.14,NA,NA,NA,NA
7Mg,3,1,Large,M,0.14,18,0.15,19.5,7,N,Hypoxia,1,370.1927411,8.772339836,42.2,865.6,823.4,0,1.009,0.336,0.12,0.14,0.269,0.08,0.189,5,5,1,1
7ML,4,2,Large,M,0.1,16,0.1,16.5,7,N,Hypoxia,1,619.8975646,7.177509432,86.36666667,865.6,779.2333333,0,NA,NA,NA,NA,NA,NA,NA,97,115,1,1
7Mp,7,3,Large,M,0.15,19,0.18,19.5,7,N,Hypoxia,1,223.5966844,7.453222814,30,865.6,835.6,0,0.613,0.274,0.31,0.17,0.168,0.069,0.099,NA,4,0,1
8Fb,3,1,Large,F,0.21,21.5,0.35,25,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,4.409272951,0.724,0.16,0.88,0.34,0.218,0.049,0.169,NA,NA,NA,NA
8Fg,4,2,Large,F,0.19,21,0.7,29.5,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,7.99060382,0.453,0.305,2.25,0.83,0.155,0.122,0.033,4,4,1,1
8FL,4,2,Large,F,0.2,20.5,0.79,31,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,12.91974738,NA,NA,NA,NA,NA,NA,NA,48,48,1,1
8Fp,7,3,Large,F,0.2,22,0.49,26,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,4.016481824,0.474,0.207,1.54,0.49,0.15,0.071,0.079,18,18,1,1
8Mb,3,1,Large,M,0.11,18,0.16,18.5,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,5.514479359,0.792,0.187,0.65,0.11,0.204,0.042,0.162,40,40,1,1
8Mg,4,2,Large,M,0.11,16,0.13,18,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,0,0.764,0.274,0.29,0.12,0.199,0.062,0.137,6,5,1,1
8ML,7,3,Large,M,0.13,18,0.15,19,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,8.65680838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8Mp,7,3,Large,M,0.21,22.5,0.31,25,8,H,Hypoxia,1,0,NA,0,874.7333333,874.7333333,2.056377079,0.577,0.157,0.67,0.31,0.172,0.047,0.125,46,46,1,1
9Fb,3,1,Large,F,0.17,20.5,0.44,26,9,N,Hypoxia,1,0,NA,0,871.8,871.8,11.71056685,0.534,0.193,1.64,0.34,0.161,0.059,0.102,NA,49,0,1
9Fg,4,2,Large,F,0.13,18,0.261,21,9,N,Hypoxia,1,0,NA,0,871.8,871.8,13.69377696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9FL,7,3,Large,F,0.2,21,0.59,28,9,N,Hypoxia,1,0,NA,0,871.8,871.8,16.09288355,NA,NA,NA,NA,NA,NA,NA,NA,44,0,1
9Fp,7,3,Large,F,0.19,20,0.82,29.5,9,N,Hypoxia,1,0,NA,0,871.8,871.8,10.13940234,0.562,0.194,2.52,0.57,0.182,0.069,0.113,49,49,1,1
9Mb,3,1,Large,M,0.11,17,0.12,18,9,N,Hypoxia,1,0,NA,0,871.8,871.8,21.91928527,0.492,0.136,0.15,0.12,0.128,0.031,0.097,31,31,1,1
9Mg,4,2,Large,M,0.1,17,0.13,18,9,N,Hypoxia,1,0,NA,0,871.8,871.8,17.42144177,0.998,0.415,0.45,0.12,0.26,0.094,0.166,NA,38,0,1
9ML,4,2,Large,M,0.12,19,0.13,18.5,9,N,Hypoxia,1,0,NA,0,871.8,871.8,18.85782502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9Mp,7,3,Large,M,0.13,18,0.17,19,9,N,Hypoxia,1,0,NA,0,871.8,871.8,17.60243376,0.676,0.223,0.46,0.16,0.183,0.055,0.128,NA,6,0,1
10Fb,3,1,Large,F,0.23,22,0.69,30.5,10,H,Hypoxia,2,844.429984,7.107996498,118.8,865.6,746.8,13.7245841,0.463,0.213,1.89,0.54,0.149,0.075,0.074,NA,NA,0,0
10Fg,3,1,Large,F,0.16,20,0.54,27,10,H,Hypoxia,2,197.9760053,7.387164378,26.8,865.6,838.8,3.096118299,0.409,0.158,2.1,0.38,0.125,0.05,0.075,NA,7,0,1
10FL,4,2,Large,F,0.21,21.5,0.87,29,10,H,Hypoxia,2,188.1357477,15.25424981,12.33333333,865.6,853.2666667,1.424830561,NA,NA,NA,NA,NA,NA,NA,7,7,1,1
10Fp,7,3,Large,F,0.23,21.5,0.6,27.5,10,H,Hypoxia,2,421.9418816,6.464890933,65.26666667,865.6,800.3333333,7.540049291,0.457,0.145,1.65,0.43,0.142,0.048,0.094,55,55,1,1
10Mg,4,2,Large,M,0.16,18.5,0.19,20.5,10,H,Hypoxia,2,6782.601768,107.2630749,63.23333333,865.6,802.3666667,7.305144794,0.707,0.004,0.3,0.16,0.192,0.001,0.191,6,6,1,1
10ML,4,2,Large,M,0.12,18,0.11,16.5,10,H,Hypoxia,2,511.3226776,7.108285601,71.93333333,865.6,793.6666667,8.310227973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10Mp,7,3,Large,M,0.16,20,0.17,19.5,10,H,Hypoxia,2,538.7025373,6.742209478,79.9,865.6,785.7,9.230591497,0.544,0.025,0.1,0.17,0.149,0.006,0.143,NA,NA,NA,NA
11Fb,2,1,Random,F,0.21,20,0.19,21.5,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,0.579,0.205,-0.17,0.17,0.158,0.052,0.106,NA,NA,0,0
11Fg,5,2,Random,F,0.23,23,0.61,29,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,0.429,0.284,1.68,0.76,0.145,0.11,0.035,17,17,1,1
11FL,8,3,Random,F,0.18,20.5,0.58,18.5,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11Fp,8,3,Random,F,0.21,21.5,0.18,21.5,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11Mb,2,1,Random,M,0.1,16,0.08,16,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,1.095,0.274,-0.38,0.08,0.27,0.055,0.215,7,114,1,1
11Mg,2,1,Random,M,0.1,17,0.12,17.5,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,1.119,0.363,0.31,0.12,0.292,0.083,0.209,41,31,1,1
11ML,5,2,Random,M,0.12,17,0.14,18,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,NA,NA,NA,NA,NA,NA,NA,6,33,1,1
11Mp,8,3,Random,M,0.11,17,0.12,17.5,11,N,Hypoxia,2,0,NA,0,895.9333333,895.9333333,0,1.164,0.312,0.15,0.12,0.303,0.071,0.232,36,36,1,1
12Fb,1,1,Small,F,0.17,19.5,0.62,27,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,0.457,0.177,2.23,0.44,0.143,0.059,0.084,5,30,1,1
12Fg,6,2,Small,F,0.11,17.5,0.44,24.5,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,0.554,0.146,2.39,0.37,0.169,0.046,0.123,33,33,1,1
12FL,6,2,Small,F,0.16,19,0.38,24,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,NA,NA,NA,NA,NA,NA,NA,4,4,1,1
12Fp,9,3,Small,F,0.17,19.5,0.43,25,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,0.509,0.113,1.6,0.37,0.155,0.036,0.119,4,4,1,1
12Mb,1,1,Small,M,0.08,17,0.09,15.5,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12Mg,6,2,Small,M,0.07,15,0.07,15,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12ML,9,3,Small,M,0.12,18,0.14,18.5,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,NA,NA,NA,NA,NA,NA,NA,3,3,1,1
12Mp,9,3,Small,M,0.08,16,0.09,16.5,12,H,Hypoxia,2,0,NA,0,891.5333333,891.5333333,0,0.422,0.1,0.2,0.09,0.106,0.021,0.085,6,51,1,1
1Fb,2,1,Random,F,0.16,19,0.3,22,1,H,Hypoxia,2,122.5063033,8.167086889,15,865.6,850.6,1.732902033,0.619,0.219,1.08,0.28,0.182,0.064,0.118,NA,10,0,1
1Fg,2,1,Random,F,0.23,20.5,0.45,25.5,1,H,Hypoxia,2,108.1285282,6.238184319,17.33333333,865.6,848.2666667,2.002464572,0.628,0.172,1.16,0.41,0.194,0.056,0.138,NA,NA,NA,NA
1FL,5,2,Random,F,0.24,22.5,0.57,28.5,1,H,Hypoxia,2,914.6384407,9.173906125,99.7,865.6,765.9,11.51802218,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1Fp,8,3,Random,F,0.19,20.5,0.2,21.5,1,H,Hypoxia,2,246.0707492,8.032777449,30.63333333,865.6,834.9666667,3.538971041,0.881,0.175,0.09,0.19,0.245,0.046,0.199,6,6,1,1
1Mb,2,1,Random,M,0.1,16,0.12,18,1,H,Hypoxia,2,352.8919145,8.277370943,42.63333333,865.6,822.9666667,4.925292668,1.234,0.268,0.31,0.11,0.318,0.059,0.259,NA,78,0,1
1Mg,5,2,Random,M,0.14,18.5,0.17,19,1,H,Hypoxia,2,607.1624882,7.985477706,76.03333333,865.6,789.5666667,8.783887862,0.744,0.256,0.33,0.15,0.2,0.062,0.138,29,29,1,1
1ML,5,2,Random,M,0.13,17.5,0.14,18.5,1,H,Hypoxia,2,1197.069983,7.374147741,162.3333333,865.6,703.2666667,18.75385089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1Mp,8,3,Random,M,0.13,19.5,0.16,19.5,1,H,Hypoxia,2,821.3046913,7.588278639,108.2333333,865.6,757.3666667,12.50385089,1.319,0.288,0.36,0.16,0.358,0.071,0.287,5,28,1,1
2Fb,1,1,Small,F,0.17,19,0.72,30,2,N,Hypoxia,2,936.5791821,6.834681455,137.0333333,865.6,728.5666667,15.8310228,0.642,0.167,2.49,0.44,0.201,0.055,0.146,NA,6,0,1
2Fg,6,2,Small,F,0.12,18.5,0.34,23,2,N,Hypoxia,2,376.4808625,6.491049354,58,865.6,807.6,6.700554529,0.379,0.195,1.8,0.25,0.109,0.055,0.054,NA,24,0,1
