Fish_ID,Aquarium,Acclimation,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,Treatment,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS
3fp,3,Hypoxia acclimated,F,0.18,0.25,20.5,23,0.57,0.29,0.2,Normoxia,1.215,0.291,0.358,0.086,0.272
3mg,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,Hypoxia,0.341,0.442,0.089,0.101,-0.012
3mg,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,Normoxia,0.798,0.548,0.208,0.125,0.083
3ml,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,Hypoxia,0.755,0.292,0.194,0.065,0.129
3ml,3,Hypoxia acclimated,M,0.12,0.12,17.5,18,0,0.11,0.05,Normoxia,1.197,0.572,0.308,0.127,0.181
3mp,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,Hypoxia,0.564,0.079,0.153,0.02,0.133
3mp,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,Normoxia,1.162,0.4,0.315,0.099,0.216
4fb,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,Hypoxia,NA,0.221,NA,0.066,NA
4fb,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,Normoxia,0.767,0.302,0.227,0.09,0.137
4fg,4,Normoxia acclimated,F,0.23,0.8,22,30.5,2.15,0.72,0.56,Hypoxia,0.461,0.283,0.154,0.108,0.046
4fg,4,Normoxia acclimated,F,0.23,0.8,22,30.5,2.15,0.72,0.56,Normoxia,0.774,0.329,0.259,0.126,0.133
4fl,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,Hypoxia,0.493,0.188,0.152,0.06,0.092
4fl,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,Normoxia,0.972,0.3,0.299,0.096,0.203
4fp,4,Normoxia acclimated,F,0.17,0.62,20,27,2.23,0.43,0.52,Hypoxia,0.523,0.181,0.163,0.06,0.103
4fp,4,Normoxia acclimated,F,0.17,0.62,20,27,2.23,0.43,0.52,Normoxia,0.964,0.301,0.3,0.099,0.201
4mb,4,Normoxia acclimated,M,0.09,0.01,16,17,-3.79,0.1,0.1,Hypoxia,0.901,0.185,0.229,0.04,0.189
4mb,4,Normoxia acclimated,M,0.09,0.01,16,17,-3.79,0.1,0.1,Normoxia,1.09,0.608,0.277,0.131,0.146
4mg,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,Hypoxia,0.682,0.06,0.176,0.013,0.163
4mg,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,Normoxia,0.928,0.592,0.239,0.131,0.108
4ml,4,Normoxia acclimated,M,0.11,0.13,17,18,0.29,0.12,0.1,Hypoxia,0.738,0.26,0.192,0.059,0.133
4ml,4,Normoxia acclimated,M,0.11,0.13,17,18,0.29,0.12,0.1,Normoxia,0.647,0.479,0.169,0.109,0.06
4mp,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,Hypoxia,1.081,0.075,0.271,0.016,0.255
4mp,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,Normoxia,1.227,0.714,0.307,0.15,0.157
5fb,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,Hypoxia,0.611,0.202,0.183,0.061,0.122
5fb,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,Normoxia,0.912,0.314,0.273,0.095,0.178
5fg,5,Hypoxia acclimated,F,0.13,0.43,18,25.5,2.06,0.4,0.6,Hypoxia,0.525,0.158,0.162,0.051,0.111
5fg,5,Hypoxia acclimated,F,0.13,0.43,18,25.5,2.06,0.4,0.6,Normoxia,0.706,0.316,0.218,0.102,0.116
5fl,5,Hypoxia acclimated,F,0.19,0.38,20.5,24,1.2,0.36,0.27,Hypoxia,0.758,0.122,0.23,0.038,0.192
5fl,5,Hypoxia acclimated,F,0.19,0.38,20.5,24,1.2,0.36,0.27,Normoxia,1.412,0.253,0.429,0.079,0.35
5fp,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,Hypoxia,0.55,0.207,0.171,0.068,0.103
5fp,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,Normoxia,0.8,0.15,0.248,0.049,0.199
5mb,5,Hypoxia acclimated,M,0.07,0.08,12.5,16,0.23,0.09,0.43,Hypoxia,0.266,0.074,0.067,0.015,0.052
5mb,5,Hypoxia acclimated,M,0.07,0.08,12.5,16,0.23,0.09,0.43,Normoxia,0.427,0.036,0.107,0.008,0.099
5mg,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,Hypoxia,0.688,0.068,0.172,0.014,0.158
5mg,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,Normoxia,0.806,0.532,0.202,0.111,0.091
5ml,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,Hypoxia,1.057,0.169,0.275,0.038,0.237
5ml,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,Normoxia,1.851,0.486,0.482,0.111,0.371
5mp,5,Hypoxia acclimated,M,0.11,0.12,17.5,18,0.15,0.12,0.05,Hypoxia,0.894,0.254,0.233,0.058,0.175
5mp,5,Hypoxia acclimated,M,0.11,0.12,17.5,18,0.15,0.12,0.05,Normoxia,0.91,0.649,0.237,0.148,0.089
6fb,6,Normoxia acclimated,F,0.12,0.34,16.5,24,1.8,0.4,0.65,Hypoxia,0.439,0.014,0.135,0.005,0.13
6fb,6,Normoxia acclimated,F,0.12,0.34,16.5,24,1.8,0.4,0.65,Normoxia,0.493,0.171,0.152,0.055,0.097
6fg,6,Normoxia acclimated,F,0.11,0.45,17,25.5,2.43,0.37,0.7,Hypoxia,0.596,0.216,0.182,0.068,0.114
6fg,6,Normoxia acclimated,F,0.11,0.45,17,25.5,2.43,0.37,0.7,Normoxia,0.831,0.324,0.253,0.102,0.151
6fl,6,Normoxia acclimated,F,0.13,0.65,19.5,27.5,2.77,0.54,0.59,Hypoxia,0.559,0.215,0.18,0.076,0.104
6fl,6,Normoxia acclimated,F,0.13,0.65,19.5,27.5,2.77,0.54,0.59,Normoxia,0.736,0.294,0.237,0.104,0.133
6fp,6,Normoxia acclimated,F,0.12,0.33,17,23.5,1.74,0.28,0.56,Hypoxia,0.608,0.171,0.178,0.05,0.128
6fp,6,Normoxia acclimated,F,0.12,0.33,17,23.5,1.74,0.28,0.56,Normoxia,0.661,0.329,0.194,0.096,0.098
6mb,6,Normoxia acclimated,M,0.07,0.09,14.5,16,0.43,0.08,0.17,Hypoxia,0.968,0.155,0.238,0.031,0.207
6mb,6,Normoxia acclimated,M,0.07,0.09,14.5,16,0.43,0.08,0.17,Normoxia,1.382,0.698,0.34,0.141,0.199
6mg,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,Hypoxia,0.832,0.176,0.197,0.033,0.164
6mg,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,Normoxia,1.164,0.358,0.275,0.067,0.208
6mp,6,Normoxia acclimated,M,0.09,0.09,15.5,16,0,0.09,0.05,Hypoxia,0.253,0.15,0.063,0.031,0.032
6mp,6,Normoxia acclimated,M,0.09,0.09,15.5,16,0,0.09,0.05,Normoxia,0.732,0.206,0.183,0.043,0.14
7fb,7,Normoxia acclimated,F,0.2,0.25,20,21.5,0.38,0.21,0.12,Hypoxia,0.876,0.119,0.247,0.032,0.215
7fb,7,Normoxia acclimated,F,0.2,0.25,20,21.5,0.38,0.21,0.12,Normoxia,1.241,0.341,0.35,0.091,0.259
7fg,7,Normoxia acclimated,F,0.22,1.11,22.5,32,2.79,0.81,0.61,Hypoxia,0.272,0.229,0.093,0.091,0.002
7fg,7,Normoxia acclimated,F,0.22,1.11,22.5,32,2.79,0.81,0.61,Normoxia,0.66,0.163,0.225,0.065,0.16
7fl,7,Normoxia acclimated,F,0.2,0.63,20.5,27,1.98,0.45,0.47,Hypoxia,0.666,0.116,0.209,0.039,0.17
7fl,7,Normoxia acclimated,F,0.2,0.63,20.5,27,1.98,0.45,0.47,Normoxia,1.026,0.274,0.322,0.091,0.231
7fp,7,Normoxia acclimated,F,0.25,0.99,22.5,31,2.37,0.66,0.55,Hypoxia,0.488,0.247,0.161,0.092,0.069
7fp,7,Normoxia acclimated,F,0.25,0.99,22.5,31,2.37,0.66,0.55,Normoxia,0.794,0.279,0.263,0.104,0.159
7mb,7,Normoxia acclimated,M,0.13,0.15,18,19,0.25,0.14,0.09,Hypoxia,0.613,0.098,0.163,0.023,0.14
7mb,7,Normoxia acclimated,M,0.13,0.15,18,19,0.25,0.14,0.09,Normoxia,1.444,0.194,0.384,0.046,0.338
7mg,7,Normoxia acclimated,M,0.14,0.15,18,19.5,0.12,0.14,0.14,Hypoxia,1.009,0.336,0.269,0.08,0.189
7mg,7,Normoxia acclimated,M,0.14,0.15,18,19.5,0.12,0.14,0.14,Normoxia,0.957,0.747,0.255,0.178,0.077
7ml,7,Normoxia acclimated,M,0.1,0.1,16,16.5,0,0.11,0.05,Hypoxia,0.769,0.108,0.198,0.024,0.174
7ml,7,Normoxia acclimated,M,0.1,0.1,16,16.5,0,0.11,0.05,Normoxia,1.109,0.514,0.285,0.114,0.171
7mp,7,Normoxia acclimated,M,0.15,0.18,19,19.5,0.31,0.17,0.04,Hypoxia,0.613,0.274,0.168,0.069,0.099
7mp,7,Normoxia acclimated,M,0.15,0.18,19,19.5,0.31,0.17,0.04,Normoxia,0.947,0.362,0.259,0.091,0.168
8fb,8,Hypoxia acclimated,F,0.21,0.35,21.5,25,0.88,0.34,0.26,Hypoxia,0.724,0.16,0.218,0.049,0.169
8fb,8,Hypoxia acclimated,F,0.21,0.35,21.5,25,0.88,0.34,0.26,Normoxia,1.089,0.283,0.328,0.087,0.241
8fg,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,Hypoxia,0.453,0.305,0.155,0.122,0.033
