"Fish_ID"	"Acclimation"	"Sex"	"Weight_finished"	"Treatment"	"MeanTimeSpentMoving"	"SDTimeSpentMoving"	"SkewnessTimeSpentMoving"	"KurtosisTimeSpentMoving"
"2fl"	"Not Acclimated"	"F"	0.54	"Recovery"	192.224296693333	269.664839691595	0.667493262463916	1.5
"2fp"	"Not Acclimated"	"F"	0.58	"Hypoxia"	71.9925985888889	95.1968179996844	0.664451833918101	1.5
"2fp"	"Not Acclimated"	"F"	0.58	"Normoxia"	86.4206335405556	115.097660193911	0.66267769226838	1.5
"2fp"	"Not Acclimated"	"F"	0.58	"Recovery"	148.793527950222	205.955022965783	0.664534417204494	1.5
"2mb"	"Not Acclimated"	"M"	0.07	"Hypoxia"	202.703273185556	279.657360577011	0.654915554087611	1.5
"2mb"	"Not Acclimated"	"M"	0.07	"Normoxia"	337.580242003	479.247400601886	0.664661570820137	1.5
"2mb"	"Not Acclimated"	"M"	0.07	"Recovery"	237.517826577389	333.2542833902	0.663390355328809	1.5
"2mg"	"Not Acclimated"	"M"	0.07	"Hypoxia"	89.9086132285556	119.884047336266	0.663962553517882	1.5
"2mg"	"Not Acclimated"	"M"	0.07	"Normoxia"	178.141517585667	248.683736248235	0.666083176507692	1.5
"2mg"	"Not Acclimated"	"M"	0.07	"Recovery"	113.686081280778	157.754735980337	0.675857557774217	1.5
"2ml"	"Not Acclimated"	"M"	0.1	"Hypoxia"	415.132061908778	580.261029034673	0.652713602060935	1.5
"2ml"	"Not Acclimated"	"M"	0.1	"Normoxia"	543.159238074111	778.385254750409	0.665585144997368	1.5
"2ml"	"Not Acclimated"	"M"	0.1	"Recovery"	271.595888787111	391.246976881079	0.676528116505367	1.5
"2mp"	"Not Acclimated"	"M"	0.13	"Hypoxia"	208.324818015444	291.374158859075	0.662850842496532	1.5
"2mp"	"Not Acclimated"	"M"	0.13	"Normoxia"	150.877344996222	209.615277233851	0.669532280415477	1.5
"2mp"	"Not Acclimated"	"M"	0.13	"Recovery"	182.567701041833	254.981848134874	0.666601921906437	1.5
"3fb"	"Acclimated"	"F"	0.58	"Hypoxia"	225.543151006333	316.231686077033	0.664395988578855	1.5
"3fb"	"Acclimated"	"F"	0.58	"Normoxia"	437.155823794556	624.466414269429	0.665790900590694	1.5
"3fb"	"Acclimated"	"F"	0.58	"Recovery"	289.914950011333	442.403922630041	0.697348935177367	1.5
"3fg"	"Acclimated"	"F"	0.82	"Hypoxia"	68.3620440776667	90.9610039487842	0.675452818150108	1.5
"3fg"	"Acclimated"	"F"	0.82	"Normoxia"	110.539999992444	151.307202284777	0.6713002298912	1.5
"3fg"	"Acclimated"	"F"	0.82	"Recovery"	146.065699894111	205.856127889964	0.67712471972995	1.5
"3fl"	"Acclimated"	"F"	0.69	"Hypoxia"	98.367744243	132.003670405759	0.660379168324352	1.5
"3fl"	"Acclimated"	"F"	0.69	"Normoxia"	132.743099343111	183.20419420725	0.667678046410788	1.5
"3fl"	"Acclimated"	"F"	0.69	"Recovery"	122.916009688444	171.21281127766	0.676665167692939	1.5
"3fp"	"Acclimated"	"F"	0.25	"Hypoxia"	249.508309356778	352.219969116481	0.665274004583349	1.5
"3fp"	"Acclimated"	"F"	0.25	"Normoxia"	342.571916683556	487.093282433628	0.665283980819958	1.5
"3fp"	"Acclimated"	"F"	0.25	"Recovery"	166.656213806667	230.923423965818	0.663064244395987	1.5
"3mb"	"Acclimated"	"M"	0.11	"Hypoxia"	310.393369567	476.162995172677	0.698249939594342	1.5
"3mb"	"Acclimated"	"M"	0.11	"Normoxia"	202.094644486111	283.794115287365	0.669439412140614	1.5
"3mb"	"Acclimated"	"M"	0.11	"Recovery"	136.486492292444	188.113289523056	0.66533594637709	1.5
"3mg"	"Acclimated"	"M"	0.12	"Hypoxia"	379.056722362	540.876494694914	0.667580660762004	1.5
"3mg"	"Acclimated"	"M"	0.12	"Normoxia"	371.586906555111	529.913889902979	0.667975062196338	1.5
"3mg"	"Acclimated"	"M"	0.12	"Recovery"	310.746560605778	466.511498085333	0.69423831878034	1.5
"3ml"	"Acclimated"	"M"	0.12	"Hypoxia"	357.657492443778	501.703550151874	0.656253342287224	1.5
"3ml"	"Acclimated"	"M"	0.12	"Normoxia"	421.119682265333	597.793793762346	0.662334154058816	1.5
"3ml"	"Acclimated"	"M"	0.12	"Recovery"	533.199185556889	763.173138861693	0.66452610518372	1.5
"3mp"	"Acclimated"	"M"	0.16	"Hypoxia"	255.882804620556	354.953324635685	0.654138056619141	1.5
"3mp"	"Acclimated"	"M"	0.16	"Normoxia"	262.028772683111	368.43199687688	0.663284700597668	1.5
"3mp"	"Acclimated"	"M"	0.16	"Recovery"	252.358140137889	356.244664007048	0.665893635290996	1.5
"4fb"	"Not Acclimated"	"F"	0.52	"Hypoxia"	125.620137348167	174.69664619469	0.675308994204652	1.5
"4fb"	"Not Acclimated"	"F"	0.52	"Normoxia"	221.103021413833	310.906524558613	0.666226138290131	1.5
"4fb"	"Not Acclimated"	"F"	0.52	"Recovery"	216.862453812722	303.753786228311	0.664427051954586	1.5
"4fg"	"Not Acclimated"	"F"	0.8	"Hypoxia"	65.3612878313889	88.2615257663143	0.686521135423003	1.5
"4fg"	"Not Acclimated"	"F"	0.8	"Normoxia"	97.2513428886667	132.380615491305	0.670221186178634	1.5
"4fg"	"Not Acclimated"	"F"	0.8	"Recovery"	126.901413716278	174.981316186503	0.671816216779995	1.5
"4fl"	"Not Acclimated"	"F"	0.35	"Hypoxia"	119.235306047667	161.278597818162	0.656037072426829	1.5
"4fl"	"Not Acclimated"	"F"	0.35	"Normoxia"	294.462150857056	412.116012858668	0.657805505348845	1.5
"4fl"	"Not Acclimated"	"F"	0.35	"Recovery"	234.708002397611	329.239079205545	0.663128986121371	1.5
"4fp"	"Not Acclimated"	"F"	0.62	"Hypoxia"	33.4592237445556	41.6944922952806	0.700510212919415	1.5
"4fp"	"Not Acclimated"	"F"	0.62	"Normoxia"	95.2895035033333	131.174467414904	0.680319263198834	1.5
"4fp"	"Not Acclimated"	"F"	0.62	"Recovery"	76.4429563378889	102.701584016206	0.673681693848586	1.5
"4mb"	"Not Acclimated"	"M"	0.01	"Hypoxia"	88.0351483187222	117.770122564404	0.662211108849509	1.5
